AGO;[{'01166': 4.836281906951478}, {'01223': 4.836281906951478}]
LATEX;[{'00989': 5.529429087511423}]
LIFE;[{'01224': 1.666102255087602}, {'01000': 1.666102255087602}, {'01024': 1.666102255087602}, {'01128': 1.666102255087602}, {'01040': 1.666102255087602}, {'01202': 3.332204510175204}, {'01232': 1.666102255087602}, {'01133': 1.666102255087602}, {'01071': 1.666102255087602}]
OCCURRENCE;[{'01114': 3.58351893845611}, {'00989': 1.791759469228055}, {'00986': 1.791759469228055}, {'01210': 1.791759469228055}, {'01079': 1.791759469228055}, {'01049': 1.791759469228055}, {'01134': 1.791759469228055}]
FLOW;[{'01048': 5.529429087511423}]
EXPLAIN;[{'01046': 3.919991175077323}, {'01048': 3.919991175077323}, {'01157': 3.919991175077323}, {'01217': 3.919991175077323}, {'01146': 3.919991175077323}]
LATER;[{'01087': 4.430816798843313}, {'01098': 4.430816798843313}, {'01029': 4.430816798843313}]
AN;[{'01017': 3.2268439945173775}, {'01167': 3.2268439945173775}, {'01139': 3.2268439945173775}, {'01172': 3.2268439945173775}, {'01047': 3.2268439945173775}, {'01192': 3.2268439945173775}, {'01126': 3.2268439945173775}, {'01136': 3.2268439945173775}, {'01156': 3.2268439945173775}, {'01197': 3.2268439945173775}]
PREDICTION;[{'01195': 4.836281906951478}, {'01001': 4.836281906951478}]
ACETYLCYSTEINE;[{'01119': 5.529429087511423}]
TUMOR;[{'01191': 5.529429087511423}]
EFFICIENCY;[{'01153': 4.430816798843313}, {'01220': 4.430816798843313}, {'01034': 4.430816798843313}]
PARASITE;[{'01061': 5.529429087511423}]
AEROSOL;[{'01143': 2.2154083994216567}, {'01234': 2.2154083994216567}, {'01151': 4.430816798843313}]
EMPHASIZE;[{'01103': 4.836281906951478}, {'01020': 4.836281906951478}]
GROWING;[{'01148': 5.529429087511423}]
VENTRICLE;[{'01043': 4.836281906951478}, {'01217': 2.418140953475739}]
EFFORT;[{'01093': 4.836281906951478}, {'01153': 4.836281906951478}]
AMONG;[{'00988': 3.2268439945173775}, {'00989': 3.2268439945173775}, {'01007': 1.6134219972586887}, {'01000': 1.6134219972586887}, {'01086': 1.6134219972586887}, {'01209': 1.6134219972586887}, {'01170': 1.6134219972586887}, {'01144': 1.6134219972586887}, {'01179': 1.6134219972586887}, {'01083': 1.6134219972586887}]
DETECT;[{'00982': 1.2458898727611227}, {'01001': 1.2458898727611227}, {'01237': 2.4917797455222455}, {'01045': 1.2458898727611227}, {'01204': 3.7376696182833684}, {'01029': 1.2458898727611227}]
DEFIES;[{'01031': 5.529429087511423}]
BASELINE;[{'01006': 2.0715673631957663}, {'01099': 4.143134726391533}, {'01003': 4.143134726391533}, {'01045': 2.0715673631957663}]
INDUCTION;[{'01029': 5.529429087511423}]
EXAMPLE;[{'01113': 2.418140953475739}, {'01001': 4.836281906951478}]
UNDERTAKEN;[{'01237': 4.836281906951478}, {'01047': 4.836281906951478}]
MUCH;[{'01115': 3.332204510175204}, {'01008': 3.332204510175204}, {'00986': 3.332204510175204}, {'01016': 3.332204510175204}, {'01036': 3.332204510175204}, {'01129': 3.332204510175204}, {'01140': 3.332204510175204}, {'01056': 3.332204510175204}, {'01136': 3.332204510175204}]
CARCINOMA;[{'01075': 4.836281906951478}, {'01124': 4.836281906951478}]
BEHAVIOR;[{'01202': 4.836281906951478}, {'01145': 4.836281906951478}]
POSITIONS;[{'01152': 5.529429087511423}]
CHEMOTHERAPY;[{'01090': 5.529429087511423}]
CROSSLEY;[{'01128': 4.836281906951478}, {'01131': 4.836281906951478}]
VOLUNTEERS;[{'01034': 5.529429087511423}]
EVALUATION;[{'01021': 5.529429087511423}]
WORKERS;[{'01162': 5.529429087511423}]
AMINO;[{'01197': 4.430816798843313}, {'01011': 4.430816798843313}, {'01221': 4.430816798843313}]
SULPHOMUCIN;[{'01121': 5.529429087511423}]
NATURE;[{'01193': 2.0715673631957663}, {'01202': 4.143134726391533}, {'01233': 2.0715673631957663}, {'01034': 2.0715673631957663}]
DESERVE;[{'01128': 5.529429087511423}]
ULCERATIONS;[{'01017': 5.529429087511423}]
