LATEX;{'346': 2.7835462822703496, '989': 3.621477207552684}
GENUIN;{'73': 2.7835462822703496, '239': 2.7835462822703496}
EXPLAIN;{'217': 1.4825162866063684, '214': 1.4825162866063684, '1048': 1.4825162866063684, '1146': 1.4825162866063684, '1217': 1.4825162866063684, '1162': 1.4825162866063684, '622': 1.4825162866063684, '748': 1.4825162866063684, '613': 1.4825162866063684, '665': 1.4825162866063684, '584': 1.4825162866063684, '218': 1.4825162866063684, '192': 1.928798157935265, '244': 1.4825162866063684, '967': 1.4825162866063684, '1157': 1.4825162866063684, '305': 1.4825162866063684, '307': 1.4825162866063684, '1131': 1.4825162866063684, '923': 1.4825162866063684, '162': 1.4825162866063684, '1046': 1.4825162866063684, '24': 1.928798157935265, '855': 1.4825162866063684, '484': 1.4825162866063684, '997': 1.4825162866063684, '755': 1.4825162866063684, '992': 1.4825162866063684, '940': 1.4825162866063684, '209': 1.4825162866063684, '470': 1.4825162866063684, '938': 1.4825162866063684, '919': 1.4825162866063684, '401': 1.4825162866063684, '442': 1.4825162866063684, '739': 1.4825162866063684, '437': 1.4825162866063684, '513': 1.4825162866063684, '505': 1.4825162866063684, '503': 1.928798157935265}
LATER;{'1087': 1.7421535971121245, '318': 1.7421535971121245, '745': 2.2665940868967764, '612': 1.7421535971121245, '1098': 1.7421535971121245, '315': 1.7421535971121245, '270': 1.7421535971121245, '750': 1.7421535971121245, '661': 1.7421535971121245, '235': 1.7421535971121245, '34': 1.7421535971121245, '95': 1.7421535971121245, '796': 1.7421535971121245, '1029': 1.7421535971121245, '50': 1.7421535971121245, '956': 1.7421535971121245, '345': 1.7421535971121245, '180': 1.7421535971121245, '438': 1.7421535971121245, '649': 1.7421535971121245, '814': 2.5733721072806346, '817': 1.7421535971121245}
DELAY;{'611': 1.9084850188786497, '695': 1.9084850188786497, '1049': 1.9084850188786497, '1116': 1.9084850188786497, '550': 1.9084850188786497, '148': 1.9084850188786497, '314': 1.9084850188786497, '333': 1.9084850188786497, '1117': 1.9084850188786497, '70': 1.9084850188786497, '870': 1.9084850188786497, '250': 1.9084850188786497, '255': 1.9084850188786497, '377': 1.9084850188786497, '822': 2.4829962558364627}
PSYCHOLOGIST;{'730': 2.7835462822703496, '331': 2.7835462822703496}
AEROSOL;{'1234': 1.8804562952784059, '25': 1.8804562952784059, '745': 2.4465300456923704, '1143': 1.8804562952784059, '159': 1.8804562952784059, '1151': 2.4465300456923704, '969': 1.8804562952784059, '543': 3.012603796106335, '321': 1.8804562952784059, '326': 1.8804562952784059, '327': 1.8804562952784059, '438': 1.8804562952784059, '253': 3.012603796106335, '90': 2.7776619623271266, '93': 3.469626224750657, '546': 2.4465300456923704}
DEMAND;{'450': 2.3856062735983117, '730': 2.3856062735983117, '189': 2.3856062735983117, '43': 2.3856062735983117, '361': 2.3856062735983117}
ESTER;{'862': 3.0007281435935687, '165': 2.3064250275506875, '675': 2.3064250275506875, '30': 2.3064250275506875, '681': 2.3064250275506875, '1239': 3.4068694306125034}
EARLIEST;{'319': 2.4825162866063684, '372': 2.4825162866063684, '333': 2.4825162866063684, '481': 2.4825162866063684}
